exponent,time_mean,memory_mean
6 MPI,0.003561513999846904,54.473
7 MPI,0.015139812000348,55.559
8 MPI,0.06427844159986591,58.066
9 MPI,0.27689364760006285,70.908
10 MPI,1.4373097786001032,108.83
11 MPI,7.832749821199837,310.01
12 MPI,51.04701411939984,1078.4
13 MPI,371.38601411939984,4150.4
6 SEC,0.02620790380006464,105.05
7 SEC,0.065255269600347616,105.12
8 SEC,0.23523092960007198,105.12
9 SEC,0.9126643823999097,105.11
10 SEC,4.4594622611999335,105.11
11 SEC,23.801362968200134,140.48
12 SEC,138.43421300860004,428.61
13 SEC,909.99421300860004,1580.6
